Date,UCSB CHIRPS Rainfall: avg, UCSB CHIRPS Rainfall: avg Percent of AOI with data
2010-0-1 00:00:00,3.376,71.02,
2010-0-2 00:00:00,7.537,71.02,
2010-0-3 00:00:00,22.801,71.02,
2010-0-4 00:00:00,2.055,71.02,
2010-0-5 00:00:00,7.961,71.02,
2010-0-6 00:00:00,22.185,71.02,
2010-0-7 00:00:00,5.443,71.02,
2010-0-8 00:00:00,7.585,71.02,
2010-0-9 00:00:00,7.167,71.02,
2010-0-10 00:00:00,4.475,71.02,
2010-0-11 00:00:00,3.842,71.02,
2010-0-12 00:00:00,12.058,71.02,
2010-0-13 00:00:00,7.870,71.02,
2010-0-14 00:00:00,7.081,71.02,
2010-0-15 00:00:00,3.514,71.02,
2010-0-16 00:00:00,4.630,71.02,
2010-0-17 00:00:00,1.522,71.02,
2010-0-18 00:00:00,6.490,71.02,
2010-0-19 00:00:00,10.310,71.02,
2010-0-20 00:00:00,10.451,71.02,
2010-0-21 00:00:00,14.244,71.02,
2010-0-22 00:00:00,5.948,71.02,
2010-0-23 00:00:00,11.689,71.02,
2010-0-24 00:00:00,8.061,71.02,
2010-0-25 00:00:00,6.509,71.02,
2010-0-26 00:00:00,5.866,71.02,
2010-0-27 00:00:00,7.876,71.02,
2010-0-28 00:00:00,4.828,71.02,
2010-0-29 00:00:00,9.198,71.02,
2010-0-30 00:00:00,4.237,71.02,
2010-0-31 00:00:00,9.451,71.02,
2010-1-1 00:00:00,12.372,71.02,
2010-1-2 00:00:00,2.202,71.02,
2010-1-3 00:00:00,2.834,71.02,
2010-1-4 00:00:00,6.294,71.02,
2010-1-5 00:00:00,3.963,71.02,
2010-1-6 00:00:00,1.892,71.02,
2010-1-7 00:00:00,5.600,71.02,
2010-1-8 00:00:00,6.135,71.02,
2010-1-9 00:00:00,6.009,71.02,
2010-1-10 00:00:00,10.424,71.02,
2010-1-11 00:00:00,2.531,71.02,
2010-1-12 00:00:00,2.358,71.02,
2010-1-13 00:00:00,3.528,71.02,
2010-1-14 00:00:00,5.376,71.02,
2010-1-15 00:00:00,0.840,71.02,
2010-1-16 00:00:00,6.125,71.02,
2010-1-17 00:00:00,9.130,71.02,
2010-1-18 00:00:00,8.669,71.02,
2010-1-19 00:00:00,7.951,71.02,
2010-1-20 00:00:00,12.638,71.02,
2010-1-21 00:00:00,13.252,71.02,
2010-1-22 00:00:00,3.540,71.02,
2010-1-23 00:00:00,13.932,71.02,
2010-1-24 00:00:00,4.011,71.02,
2010-1-25 00:00:00,11.880,71.02,
2010-1-26 00:00:00,7.305,71.02,
2010-1-27 00:00:00,5.069,71.02,
2010-1-28 00:00:00,9.765,71.02,
2010-2-1 00:00:00,12.210,71.02,
2010-2-2 00:00:00,5.617,71.02,
2010-2-3 00:00:00,15.673,71.02,
2010-2-4 00:00:00,1.566,71.02,
2010-2-5 00:00:00,10.739,71.02,
2010-2-6 00:00:00,3.102,71.02,
2010-2-7 00:00:00,2.451,71.02,
2010-2-8 00:00:00,11.757,71.02,
2010-2-9 00:00:00,10.274,71.02,
2010-2-10 00:00:00,9.458,71.02,
